StudentID,Timestamp
12345678,2023-03-04 16:09:16 AEDT+1100
12345678,2023-03-04 16:09:16 AEDT+1100
12345678,2023-03-04 16:09:17 AEDT+1100
12345678,2023-03-04 16:09:17 AEDT+1100
12345678,2023-03-04 16:09:18 AEDT+1100
12345678,2023-03-04 16:09:19 AEDT+1100
12345678,2023-03-04 16:09:19 AEDT+1100
12345678,2023-03-04 16:09:20 AEDT+1100
12345678,2023-03-04 16:09:20 AEDT+1100
12345678,2023-03-04 16:09:21 AEDT+1100
12345678,2023-03-04 16:09:22 AEDT+1100
14074518,2023-03-04 18:38:21 AEDT+1100
14074518,2023-03-04 18:38:21 AEDT+1100
14074518,2023-03-04 18:38:22 AEDT+1100
14074518,2023-03-04 18:38:23 AEDT+1100
14074518,2023-03-04 18:38:24 AEDT+1100
14074518,2023-03-04 18:38:25 AEDT+1100
14074518,2023-03-04 18:38:26 AEDT+1100
14074518,2023-03-04 18:38:26 AEDT+1100
14074518,2023-03-04 18:38:28 AEDT+1100
14074518,2023-03-04 18:38:29 AEDT+1100
14074518,2023-03-04 18:38:29 AEDT+1100
14205064,2023-03-05 11:14:16 AEDT+1100
14205064,2023-03-05 11:14:16 AEDT+1100
14205064,2023-03-05 11:14:16 AEDT+1100
14205064,2023-03-05 11:14:17 AEDT+1100
14205064,2023-03-05 11:14:17 AEDT+1100
14205064,2023-03-05 11:14:18 AEDT+1100
14205064,2023-03-05 11:14:18 AEDT+1100
14205064,2023-03-05 11:14:19 AEDT+1100
14205064,2023-03-05 11:14:19 AEDT+1100
14205064,2023-03-05 11:14:20 AEDT+1100
14205064,2023-03-05 11:14:20 AEDT+1100
13482310,2023-03-05 11:27:46 AEDT+1100
13482310,2023-03-05 11:27:46 AEDT+1100
13482310,2023-03-05 11:27:46 AEDT+1100
13482310,2023-03-05 11:27:47 AEDT+1100
13482310,2023-03-05 11:27:47 AEDT+1100
13482310,2023-03-05 11:27:48 AEDT+1100
13482310,2023-03-05 11:27:48 AEDT+1100
13482310,2023-03-05 11:27:49 AEDT+1100
13482310,2023-03-05 11:27:50 AEDT+1100
13482310,2023-03-05 11:27:50 AEDT+1100
13482310,2023-03-05 11:27:51 AEDT+1100
13285337,2023-03-05 11:48:09 AEDT+1100
13285337,2023-03-05 11:48:09 AEDT+1100
13285337,2023-03-05 11:48:09 AEDT+1100
13285337,2023-03-05 11:48:09 AEDT+1100
13285337,2023-03-05 11:48:10 AEDT+1100
13285337,2023-03-05 11:48:10 AEDT+1100
13285337,2023-03-05 11:48:11 AEDT+1100
13285337,2023-03-05 11:48:11 AEDT+1100
13285337,2023-03-05 11:48:11 AEDT+1100
13285337,2023-03-05 11:48:12 AEDT+1100
